platform,placement,status,scheduled_for,campaign_name,deleted_at,body
instagram,feed,posted,2026-01-25T07:00:00+00:00,Cash Bingo,,"Eyes down for Cash Bingo at we on Wednesday 18 February, 7pm! Ten exciting games, spot prizes, and the chance to win the Game 10 Cash Jackpot. Bring a mate, enjoy great food and drinks, and join the fun atmosphere. Seats are limited and always fill fast, so don’t miss out. Book now to secure your spot for a lively night of laughs and thrills. Details in bio. #theanchor #cashbingo #bingonight #jackpot…
See the link in our bio for details."
facebook,feed,posted,2026-01-25T07:00:00+00:00,Cash Bingo,,"Eyes down for Cash Bingo at we on Wednesday 18 February from 7pm! Join us for ten lively games, spot prizes, and double the fun when you bring a mate. With a Cash Snowball for our loyal players and a Game 10 Cash Jackpot open to all, there’s plenty to cheer about. Book early to secure your spot — once the limited seats are gone, they’re gone! Arrive early for dinner and drinks; the kitchen’s open from 4pm to 9pm. Ready for a night full of laughter, prizes, and good times? Book now and let the games begin! #theanchor #bingo #midweekfun
Book now: https://vip-club.uk/fb01cb76."
facebook,feed,posted,2026-01-26T07:00:00+00:00,Private Hire Promotion,,"Planning a big celebration in 2026? Book your party at we by 28 February and we’ll kick things off with 4 bottles of prosecco – on us 🥂. Whether it’s a milestone birthday, family gathering, or corporate event, our flexible spaces welcome 10 to 200 guests with free parking, step-free access, and personalised support. Remember, this offer is for new 2026 bookings only with a minimum of 30 guests, and your deposit must be paid by 28 February to qualify. Dates are already filling up fast, so don’t miss out! DM us to check your date or call 01753 682707 for a quick quote. T&Cs apply.
#theanchor #PrivateHire #Party2026
Learn more: https://vip-club.uk/4zdglj."
instagram,feed,posted,2026-01-26T07:00:00+00:00,Private Hire Promotion,,"Planning a big 2026 celebration? Book your party by 28 Feb and we’ll start it with 4 free bottles of prosecco 🥂 Whether it’s a milestone birthday, family gathering, or work event, we’ve got you covered with flexible spaces for 30 to 200 guests, free parking, and step-free access. Deposit must be paid by 28 Feb to secure your date. DM us to check availability. Details in bio. #theanchor #privatehire #proseccooffer #partypackage…
See the link in our bio for details."
facebook,feed,posted,2026-01-27T07:00:00+00:00,Music Bingo,,"Get ready for a night of fun and tunes at Music Bingo on Wednesday 11 February from 7pm! We’ll be playing nearly 200 songs spanning the 1950s to today, perfect for singing along and sharing laughs with friends and family. With three chances to win in each game—a bar of chocolate, a £10 food voucher, or a bottle of Prosecco—there’s plenty of reasons to join in. Fancy a bite? Our stone-baked pizzas and full menu are available from 4pm to 9pm. Spaces fill up fast, so be sure to book now and secure your spot for a memorable midweek night out. #theanchor #MusicBingo #FamilyFun
Book now: https://vip-club.uk/fb8fbe16."
instagram,feed,posted,2026-01-27T07:00:00+00:00,Music Bingo,,"Get ready for Music Bingo at we on Wednesday 11 February at 7pm! With nearly 200 songs from the 50s to today, it’s a night full of fun, laughs, and great tunes for all ages. Join us for two lively games, fab prizes, and delicious stone-baked pizzas to share. Whether you’re buzzing for a singalong or fancy a friendly challenge, there’s something for everyone. Book now to reserve your spot.
Check the…
See the link in our bio for details."
instagram,feed,posted,2026-01-28T07:00:00+00:00,Quiz Night - February 4th 2026,,"Quiz Night returns next Wednesday, 4 February, at 7pm sharp! 📝 Join us for a fun-filled February edition with themed rounds and a cheeky mini challenge. Teams up to six, just £3 per person. Arrive early to get settled by 6:55pm — we’ll help solo players find a team. Fancy a meal beforehand? Our kitchen’s open 6pm–9pm. Book now to secure your spot! Details in bio. #theanchor #quiznight #stanwellmoor #pubquiz #midweekfun #puzzleandpint…
See the link in our bio for details."
facebook,feed,posted,2026-01-28T07:00:00+00:00,Quiz Night - February 4th 2026,,"Next Wednesday, 4 February, join us for our February Quiz Night at 7pm sharp. Grab your mates or come solo — we’ll help you find a team. Expect fun rounds inspired by Valentine’s, Pancake Day and more, with prizes including a £25 bar voucher and spot drinks to be won! The kitchen’s open from 6pm if you fancy a bite before we start. Entry’s £3 cash per person; seating from 6:45pm with a prompt 6:55pm arrival for your team. Booking’s recommended to guarantee your spot — book now to save your place. Let the good times roll! #theanchor #pubquiz #stanwellmoor
Book now: https://vip-club.uk/fb69cc15."
facebook,story,scheduled,2026-01-28T07:00:00+00:00,Quiz Night Story,2026-01-19T21:35:59.976+00:00,
instagram,story,scheduled,2026-01-28T07:00:00+00:00,Quiz Night Story,2026-01-19T21:36:01.205+00:00,
facebook,feed,posted,2026-01-29T07:00:00+00:00,Cash Bingo,,"Eyes down on Wednesday 18 February at 7pm for a night of Cash Bingo at we! Join us for ten buzzing games, spot prizes, and two exciting jackpots — including the Game 10 Cash Jackpot open to all and the exclusive Snowball for qualifying players. Bring a mate, book early (£10 per book, cash on the night), and secure your seat for an electric evening filled with laughs and cheer. Arrive early for dinner or a drink and make it a proper night out. Seats fill fast, so don’t delay—book now and get ready for a cracking midweek treat! #theanchor #CashBingo #BingoNight
Book now: https://vip-club.uk/fb01cb76."
instagram,feed,posted,2026-01-29T07:00:00+00:00,Cash Bingo,,"Eyes down for Cash Bingo at we on Wednesday 18 February at 7pm! Ten exciting games, spot prizes, and cash jackpots await. Book early — seats are limited and go fast! Bring a mate and double the fun (and chances to win). Don’t miss the Snowball and Game 10 jackpots. Arrive early for drinks and dinner before the games begin. Book now.
Details in bio. #theanchor #CashBingo #BingoNight #LocalPub #MidweekFun #Jackpot #WinBig…
See the link in our bio for details."
instagram,feed,posted,2026-01-30T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call — Week 3 is here! Don’t forget to pre-order your Sunday lunch by 1pm on Saturday to enjoy our fresh, hearty roasts with triple herb crusted roasties, fluffy Yorkshires, fresh veg, and signature gravy. Joining us Sunday without pre-order? Our regular menu is packed with delicious pub classics to keep you satisfied. Bookings for six or more require a £5 deposit per head; under six, no deposit needed.…
See the link in our bio for details."
facebook,feed,posted,2026-01-30T07:00:00+00:00,Sunday Lunch Last Call,,"It’s Sunday Lunch Last Call — Week 3! Our classic roasts, with triple herb-crusted roast potatoes, fluffy Yorkshire puddings, fresh vegetables, and our signature gravy, are cooked fresh to order. To enjoy this proper feast, please remember to pre-order by 1pm on Saturday. Fancy a bite on Sunday without the pre-order? Our regular menu is packed with pub favourites and full of flavour. Tables of six or fewer don’t need a deposit; groups larger than six will need to secure your booking with £5 per person. Gather your loved ones and treat yourselves to a traditional Sunday roast like no other. Pre-order on our website today and make it a Sunday to remember. #theanchor #SundayLunch #RoastDinner
Learn more: https://www.the-anchor.pub/."
instagram,feed,posted,2026-01-31T07:00:00+00:00,Toby Urguhart Valentines Day,,"Save the date: Saturday 14 February at 8pm for Toby Urquhart Valentine’s Party Night — our first Live at we of 2026! 🎶 Whether you’re with your other half, mates, or family, join us for a brilliant Saturday night of soulful tunes, great food, and fizz.
Full menu from 6pm, live music 8–10pm, then party vibes till midnight. Find out more. Details in bio.
Find out more via the link in our bio.
#theanchor #livemusic #valentines2026 #surreypubs #stanwellmoor #partytime #soulfulsounds #pizzaandprosecco."
facebook,feed,posted,2026-01-31T07:00:00+00:00,Toby Urguhart Valentines Day,,"Love is in the air, but this Valentine’s Day at we is for everyone! Join us Saturday 14 February from 8pm for Live at we with the brilliant Toby Urquhart — soulful vocals and classics to get you singing along. Whether you’re dining, just after the music or both, we’ve got you covered with our full menu 6–9pm and a speedy pizza-only late menu until 10:30pm. Prosecco bottles will be just £19.99 all night. Entry is free, no tickets needed. Book your table from 6pm to dine or simply drop in for a proper party night. Find out more. #theanchor #LiveMusic #ValentinesDay2026
Find out more: https://vip-club.uk/fbd21c5e."
facebook,feed,posted,2026-02-01T07:00:00+00:00,Quiz Night - February 4th 2026,,"This Wednesday (4 February), sharpen your wits and gather your mates for our February Quiz Night! Expect a bit of Valentine’s, Pancake Day, and seasonal fun—plus rounds that anyone can enjoy. Arrive from 6:45pm, we start promptly at 7pm. Teams up to six, just £3 per person (cash for entry). Flying solo? No worries, we’ll slot you into a team. Fancy some grub? Our kitchen’s open 6pm–9pm, so you can dine while you play. Fabulous prizes up for grabs and a lively, friendly atmosphere to boot. Book now to secure your spot and make it a night to remember. #theanchor #quiznight #stanwellmoor
Book now: https://vip-club.uk/fb69cc15."
instagram,feed,posted,2026-02-01T07:00:00+00:00,Quiz Night - February 4th 2026,,"This Wednesday (4 February), our February Quiz Night returns at 7pm sharp! Fancy a fun midweek break with questions on Valentine’s, Pancake Day and more? Teams of up to six, cash entry £3 per person. Arrive by 6:55pm to join in or be teamed up. Enjoy a meal beforehand – kitchen open from 6pm. Prizes, laughs and friendly rivalry guaranteed. Book now. Details in bio. 🍻 #theanchor #QuizNight #PubQuiz #StanwellMoor #MidweekFun #PancakeDay…
See the link in our bio for details."
facebook,story,scheduled,2026-02-01T07:00:00+00:00,Quiz Night Story,2026-01-19T21:36:04.637+00:00,
instagram,story,scheduled,2026-02-01T07:00:00+00:00,Quiz Night Story,2026-01-19T21:36:06.141+00:00,
facebook,feed,posted,2026-02-02T07:00:00+00:00,Private Hire Promotion,,"Planning a milestone celebration, family gathering, or work party in 2026? Book your event at we by 28 February and we’ll kick things off with 4 free bottles of prosecco 🥂. Perfect for groups of 30 or more, our flexible spaces and welcoming atmosphere make every occasion special. Deposits must be paid in full by 28 Feb to secure your date and claim this offer. Dates are already booking fast—don’t miss out! DM us to check your date or call 01753 682707 for a quick quote. T&Cs: New 2026 bookings only. Min 30 guests. Deposit must be paid by 28 Feb 2026 to qualify. Subject to availability. No cash alternative. #theanchor #PrivateHire #PartyPlanning
Learn more: https://vip-club.uk/4zdglj."
instagram,feed,posted,2026-02-02T07:00:00+00:00,Private Hire Promotion,,"Planning a milestone, family gathering or work party for 2026? Book your party at we by 28 Feb and we’ll pop open 4 FREE bottles of prosecco to get the celebrations flowing 🥂 Flexible spaces, free parking, and a team that cares about making your event seamless. Minimum 30 guests with deposit paid by 28 Feb to qualify. DM us to check your date. Details in bio.
See the link in our bio for details.
#theanchor #partybooking #2026events #celebrations #stanwellmoor #prosecco #eventspace #familygathering #workparty #milestoneparty."
facebook,feed,posted,2026-02-02T07:00:00+00:00,Quiz Night - February 4th 2026,,"This Wednesday (4 February), the February edition of our Quiz Night is back! Arrive from 6:45pm, be seated by 6:55pm, and get ready to test your wits from 7pm sharp. With rounds inspired by Valentine’s, Pancake Day, and seasonal fun, it’s a proper laugh for teams of up to six. Entry’s just £3 per person (cash only for the quiz). Fancy a bite? Our kitchen’s open 6pm–9pm. Whether you’re flying solo or with mates, we’ll help you find a team. Prizes include a £25 bar voucher and a cheeky bottle of wine! Book now to secure your spot—walk-ins welcome but we recommend booking. See you at we for a cracking night! #theanchor #quiznight #StanwellMoor
Book now: https://vip-club.uk/fb69cc15."
instagram,feed,posted,2026-02-02T07:00:00+00:00,Quiz Night - February 4th 2026,,"This Wednesday (4 February) at 7pm, join us for our February Quiz Night!
A fun evening packed with seasonal questions, a cheeky mini challenge, and prizes to keep you on your toes.
Arrive by 6:55pm, bring your mates (or join a team here) and enjoy great food before or during the quiz. Entry £3 per person (cash only). Walk-ins welcome but booking’s best! Book now — details in bio. #theanchor #pubquiz #stanwellmoor…
See the link in our bio for details."
facebook,story,scheduled,2026-02-02T07:00:00+00:00,Quiz Night Story,2026-01-19T21:36:17.542+00:00,
instagram,story,scheduled,2026-02-02T07:00:00+00:00,Quiz Night Story,2026-01-19T21:36:19.445+00:00,
instagram,feed,posted,2026-02-03T07:00:00+00:00,Music Bingo,,"Get ready for a cracking night of Music Bingo on Wednesday 11 February at 7pm! With nearly 200 songs from the ’50s to today, sing along, have a laugh, and win some brilliant prizes — from chocolate bars to £10 food vouchers, and a full house wins a beautiful bottle of Prosecco! Bring the family, mates, or just yourself for an unforgettable midweek treat. Book now — details in bio. #theanchor #musicbingo…
See the link in our bio for details."
facebook,feed,posted,2026-02-03T07:00:00+00:00,Music Bingo,,"Ready for a midweek treat? Join us at we on Wednesday 11 February at 7pm for Music Bingo—a lively mix of nearly 200 tunes from the ’50s to today. Whether you’re here to win a bar of chocolate, a £10 food voucher, or a bottle of Prosecco, there’s fun for all ages and every taste. Share stone-baked pizzas, sing along, and enjoy a brilliant evening out. Spaces fill fast, so book now to secure your spot and make it a night to remember! #theanchor #MusicBingo #MidweekFun
Book now: https://vip-club.uk/fb8fbe16."
instagram,story,posted,2026-02-03T07:00:00+00:00,Music Bingo Story,,
facebook,story,posted,2026-02-03T07:00:00+00:00,Music Bingo Story,,
facebook,feed,posted,2026-02-04T07:00:00+00:00,Quiz Night - February 4th 2026,,"Tonight’s the night – our February Quiz Night kicks off at 7pm sharp! Arrive from 6:45pm and be seated by 6:55pm to secure your spot for a fun evening of Valentine’s, Pancake Day, and all things seasonal. Whether you’re a team of six, coming solo, or in pairs, we’ll help you join in the fun. Entry is just £3 per person (cash only), and our kitchen’s open from 6pm–9pm if you fancy some food before or during the quiz. Prizes, spot giveaways, and plenty of laughs await. Don’t miss out – book now and join us for a cracking night at we! #theanchor #PubQuiz #StanwellMoor
Book now: https://vip-club.uk/fb69cc15."
instagram,feed,posted,2026-02-04T07:00:00+00:00,Quiz Night - February 4th 2026,,"Tonight’s the night! Our February Quiz Night kicks off at 7pm sharp. Arrive by 6:55pm to get seated and join the fun — whether you’re flying solo or bringing mates, we’ve got your team sorted. Enjoy themed rounds, a mini phone challenge, and prizes galore. Fancy a bite before the quiz? Kitchen’s open from 6pm. Last chance to sign up — book now. Details in bio to book. #theanchor #quiznight #pubquiz #StanwellMoor…
See the link in our bio for details."
instagram,story,posted,2026-02-04T07:00:00+00:00,Quiz Night Story,,
facebook,story,posted,2026-02-04T07:00:00+00:00,Quiz Night Story,,
instagram,feed,posted,2026-02-05T07:00:00+00:00,Cash Bingo,,"Eyes down for Cash Bingo at we on Wednesday 18 February, 7pm! Ten thrilling games, spot prizes, and a chance at the Game 10 Cash Jackpot await. Bring a mate, grab your dabbers, and enjoy an electric night with good company and great fun. Book early to secure your seat—these go fast! Book now.
Details in bio. #theanchor #cashbingo #bingo #midweekfun #jackpot #pubnight #winbig #bingo2026 #bingojoy #nightout.
Book now via the link in our bio."
facebook,feed,posted,2026-02-05T07:00:00+00:00,Cash Bingo,,"Eyes down on Wednesday 18 February at 7pm for a lively Cash Bingo Night here at we! Ten exciting games, spot prizes, and two jackpots up for grabs — including our special Snowball for eligible players. Bring a mate, grab a drink, and settle in for an evening full of laughter and cheers. Seats are limited and go fast, so book now to secure your place. Kitchen open from 4pm if you want to make a night of it with dinner beforehand. Don’t miss out on the best midweek fun in town! #theanchor #BingoNight #MidweekFun
Book now: https://vip-club.uk/fb01cb76."
facebook,feed,scheduled,2026-02-06T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call — Week 4 is here! Our sumptuous Sunday roasts are all cooked fresh to order, featuring triple herb-crusted roast potatoes, fluffy Yorkshire puddings, fresh seasonal vegetables, and our signature gravy. To enjoy this classic feast, please remember to place your pre-order by 1pm on Saturday. Don’t worry if you miss out—our regular menu is packed with delicious pub favourites to tempt your taste buds. Tables of under six can reserve without a deposit, while larger groups require just a £5 per head deposit. Gather your loved ones and make Sunday special with us undefined. Secure your Sunday lunch with us today! #theanchor #SundayLunch #RoastDinner
Learn more: https://www.the-anchor.pub/."
instagram,feed,scheduled,2026-02-06T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call — Week 4 is here! Our Sunday lunches are cooked fresh to order, featuring triple herb crusted roasties, fluffy Yorkshire puddings, fresh veg, and our signature gravy – a true classic undefined. Remember to pre-order by 1pm Saturday to avoid disappointment. Tables over six require a £5 per head deposit. Join us this Sunday for a feast or choose from our regular menu. Check the link in…
See the link in our bio for details."
facebook,feed,scheduled,2026-02-07T07:00:00+00:00,Toby Urguhart Valentines Day,,"Just one week to go until Toby Urquhart brings his soulful vocals to The Anchor for our Valentine’s Party Night! Join us next Saturday, 14 February, from 8pm for a proper Saturday party — perfect for couples, mates, families, or anyone up for a brilliant night out. Enjoy live music from 8–10pm, followed by party tunes until midnight. Book a table from 6pm to dine on our full menu, with a pizza-only Late Menu from 9pm if you fancy food later. Prosecco bottles at £19.99 make it an even sweeter night. Entry is free, no tickets needed. Early bookings recommended! Find out more. #theanchor #liveattheanchor #valentinesparty
Find out more: https://vip-club.uk/fbd21c5e."
instagram,feed,scheduled,2026-02-07T07:00:00+00:00,Toby Urguhart Valentines Day,,"Valentine’s Day undefined is just one week away! Join us next Saturday 14 February from 8pm for live music with Toby Urquhart, delicious food, and a lively party atmosphere. Whether you’re coming with your other half, mates, or family, everyone’s welcome to celebrate with us. Free entry, tables from 6pm (last booking 8:30pm), and prosecco bottles at £19.99! Find out more.
Find out more via the link in our bio.
#theanchor #valentinesday #livemusic #stanwellmoor #surrey #weekendvibes #partytime #prosecco #pizzanight #acoustic."
instagram,feed,scheduled,2026-02-08T07:00:00+00:00,Music Bingo,,"This Wednesday (11 February), join us undefined for Music Bingo from 7pm! Sing along to nearly 200 songs from the 50s to today and enjoy cracking prizes like Prosecco, food vouchers, and chocolate. Two games mean twice the fun — family-friendly and full of laughs. Fancy a bite? Our stone-baked pizzas and full menu will be ready from 4pm to 9pm. Book now — details in bio. #theanchor #MusicBingo #FamilyFun #MidweekTreat…
See the link in our bio for details."
facebook,feed,scheduled,2026-02-08T07:00:00+00:00,Music Bingo,,"This Wednesday (11 February), join us undefined for Music Bingo Night! We’re playing a lively mix of nearly 200 songs from the 1950s to today, with two games where you can win chocolate, a £10 food voucher, or a bottle of Prosecco. Bring the whole family for a fun, sing-along evening in a warm, friendly atmosphere. Our stone-baked pizzas and full menu are available from 4pm to 9pm to keep you fuelled. Spaces fill up fast—book now to secure your spot or just pop in if we’ve got room. See you for a cracking night of tunes and prizes! #theanchor #musicbingo #midweekfun
Book now: https://vip-club.uk/fb8fbe16."
facebook,feed,scheduled,2026-02-09T07:00:00+00:00,Music Bingo,,"This Wednesday (11 February), join us for Music Bingo undefined — a lively evening packed with nearly 200 tunes from the 1950s to today. Sing along, have a laugh, and enjoy three chances to win in each game: from chocolate, to a £10 food voucher, to a bottle of Prosecco! Our stone-baked pizzas and full menu will be available from 4pm–9pm, so make a proper night of it. All ages welcome — bring the whole gang for a fun midweek treat. Book now to secure your spot or simply pop in if there’s space. Let’s make Wednesday a night to remember! #theanchor #musicbingo #winbig
Book now: https://vip-club.uk/fb8fbe16."
instagram,feed,scheduled,2026-02-09T07:00:00+00:00,Music Bingo,,"This Wednesday (11 February), join us for Music Bingo at 7pm — it’s game on with tunes from the ‘50s right through to today! Mark your cards, sing along, and enjoy the chance to win chocolate, food vouchers, or a bottle of Prosecco. Fancy something to eat? Our stone-baked pizzas and full menu are served from 4pm to 9pm. Book now to secure your spot or just pop in if there’s space.…
See the link in our bio for details."
